actor,date,director,id,language,rate,rating_num,region,runtime,title,type,year,is_cn,is_hk,is_tw,is_drama,is_comedy,is_action,is_romance,is_scifi,is_cartoon,is_mystery,is_thriller,is_horror,is_crime,is_homosexua,is_music,is_musical,is_biographical,is_historical,is_war,is_western,is_fantasy,is_adventure,is_disaster,is_sowordsmen,is_erotic,is_best,is_worst
"赵涛, 张译, 梁景东, 董子健, 张艾嘉, 荣梓杉, 梁永浩, 刘陆, 原文倩","2015-10-30(中国大陆), 2015-05-20(戛纳电影节)",贾樟柯,25890005,"英语 ,  山西话 ,  汉语普通话 ,  上海话",7.8,140843.0,"中国大陆, 法国, 日本",126.0,山河故人,"剧情, 家庭",2015,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"于毅, 何花, 王瑞昌, 岳丽娜, 倪虹洁, 巨兴茂, 鲁佳妮",2018-02-01(中国大陆),巨兴茂,26910820,汉语普通话,7.1,51116.0,中国大陆,111.0,灵魂摆渡·黄泉,"悬疑, 惊悚, 奇幻",2018,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"章宇, 王玉雯, 彭昱畅, 李从喜",2018-02-16(柏林电影节),胡波,27172891,汉语普通话,8.0,10036.0,中国大陆,230.0,大象席地而坐,剧情,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"张国立, 葛优, 梁天, 潘虹, 马晓晴, 孙凤英, 李耕, 董钰刚, 颜彼得, 侯耀华, 莫岐, 常蓝天, 李丽娜, 李滨, 王哲元, 米丽新",1989-09-15(多伦多电影节),米家山,1307690,汉语普通话,8.4,45887.0,中国大陆,110.0,顽主,"剧情, 喜剧",1989,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"梁朝伟, 吴亦凡, 唐嫣, 杜鹃, 林子祥, 华栖龙, 雅各布 格拉夫, 元秋, 刘家勇, 罗莽, 谢婷婷, 周小飞, 林德信, 陈语安, 黎烈弓, 杰佳·亚宁",2018-08-17(中国大陆),马楚成,26351812,"粤语 ,  英语 ,  汉语普通话 ,  意大利语 ,  克林贡语",3.6,40695.0,"中国大陆, 英国",100.0,欧洲攻略,"喜剧, 动作, 爱情",2018,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"赵又廷, 冯绍峰, 林更新, 金汎, 杨颖, 刘嘉玲, 胡东, 马京京, 盛鉴, 林朝绪, 陈坤, 言杰, 汪汐潮, 陈国义, 赖迦童, 张山, 铁男",2013-09-28(中国大陆),徐克,5996801,汉语普通话,6.5,147143.0,"中国大陆, 香港",133.0,狄仁杰之神都龙王,"动作, 悬疑, 古装",2013,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"颜丙燕, 陈刚, 焦刚, 李现, 赵倩, 王沫溪, 杨鸣秋, 何明兰, 刘善良, 黄首霞, 孙仲江, 张瑞田, 余龙钢",2012-11-16(中国大陆),王竞,10537853,"汉语普通话 ,  武汉方言",8.5,101218.0,中国大陆,118.0,万箭穿心,"剧情, 家庭",2012,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"大鹏, 袁姗姗, 柳岩, 吴君如, 曾志伟, 岳云鹏, 衣云鹤, 梁超, 潘斌龙, 崔志佳, 乔杉, 郭采洁, 邓超, 尚格·云顿, 小沈阳, 宋小宝, 刘小光, 王小利, 陈思诚, 林更新, 陈羽凡, 胡海泉, 韩寒, 陈赫, 郑恺, 包贝尔, 郑伊健, 陈小春, 谢天华, 林晓峰",2015-07-17(中国大陆),大鹏,25895276,"汉语普通话 ,  英语 ,  粤语",5.9,238049.0,中国大陆,113.0,煎饼侠,喜剧,2015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"周星驰, 徐娇, 张雨绮, 林子聪, 冯勉恒, 姚文雪, 黄蕾, 李尚正, 韩永华, 胡倩琳","2008-01-30(中国大陆), 2008-01-31(香港)",周星驰,1961963,"英语 ,  汉语普通话 ,  粤语",6.4,204768.0,"中国大陆, 香港",86.0,长江七号,"喜剧, 科幻",2008,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"刘烨, 张涵予, 黄渤, 田中千绘, 梁静, 王迅, 大冢匡将, 张鲁一",2013-03-29(中国大陆),管虎,6011806,汉语普通话,7.0,176966.0,中国大陆,108.0,厨子戏子痞子,"喜剧, 动作",2013,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"徐峥, 赵薇, 包贝尔, 杜鹃, 葛民辉, 李灿森, 潘虹, 赵有亮, 朱媛媛, 王迅, 冯勉恒, 王晶, 叶竞生, 林晓峰, 车保罗, 苑琼丹, 林雪, 江约诚, 郑丹瑞, 田启文, 吴耀汉, 林路迪, 詹瑞文, 庄思敏, 陶虹",2015-09-25(中国大陆),徐峥,25710912,"汉语普通话 ,  粤语",5.6,241149.0,中国大陆,114.0,港囧,喜剧,2015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"杨子姗, 赵又廷, 韩庚, 江疏影, 刘雅瑟, 张瑶, 包贝尔, 郑恺, 王佳佳, 黄宥明, 佟丽娅, 孙玮, 王森, 黄小蕾, 杨澜, 宫哲, 崔文璐, 韩红, 潘虹, 李大光, 马小宁, 郝姗姗","2013-04-26(中国大陆), 2014-05-01(台湾)",赵薇,6973376,汉语普通话,6.6,362904.0,中国大陆,132.0,致我们终将逝去的青春,"剧情, 爱情",2013,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"邓超, 阮经天, 刘诗诗, 文淇, 林嘉欣, 郭京飞, 马苏",2017-12-22(中国大陆),徐纪周,26774722,汉语普通话,5.9,85811.0,"中国大陆, 香港",124.0,心理罪之城市之光,"动作, 悬疑, 犯罪",2017,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"张曼玉, 林青霞, 梁家辉, 甄子丹, 熊欣欣, 刘洵, 任世官, 吴启华, 袁祥仁, 徐锦江, 郑希怡, 王彤川, 王伟顺, 蔡浩","2012-02-24(中国大陆), 1992-08-27(香港)",李惠民,1292287,"汉语普通话 ,  粤语",8.5,210318.0,"香港, 中国大陆",88.0,新龙门客栈 新龍門客棧,"剧情, 动作, 武侠, 古装",1992,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"成龙, 谢霆锋, 杨采妮, 蔡卓妍, 吴彦祖, 安志杰, 尹子维, 王杰, 于荣光, 叶山豪, 蒋怡, 伍允龙, 孙淳",2004-09-24(中国大陆),陈木胜,1306160,"英语 ,  汉语普通话 ,  粤语",7.3,154606.0,"中国大陆, 香港",123.0,新警察故事,"剧情, 动作, 惊悚, 犯罪",2004,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"张国立, 张默, 徐帆, 李雪健, 陈道明, 艾德里安·布洛迪, 蒂姆·罗宾斯, 冯远征, 张涵予, 王子文, 段奕宏, 范伟, 柯蓝, 张国强, 林永健, 乔振宇, 李倩, 赵毅","2012-11-29(中国大陆), 2012-11-11(罗马电影节)",冯小刚,6011805,"河南方言 ,  英语 ,  日语 ,  汉语普通话",7.5,160006.0,中国大陆,146.0,一九四二,"剧情, 历史, 战争, 灾难",2012,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
